,city,country,name,street,tel_number,website,zip_code,
23,Rome,Italy,Accenture SPA,Piazzale dell' Industria 40,+39 06 59561111,http://www.accenture.com,144,
24,Kronberg,Germany,Accenture GmbH,Campus Kronberg 1,+49 800 45045045,http://www.accenture.de/karriere,61476,
25,Kronberg,Germany,Accenture GmbH,Campus Kronberg 1,+49 6173 94 99,http://www.accenture.de,61476,
26,Venlo,Netherlands,Accerion BV,Kazernestraat 19,+31 64 1377899,http://www.accerion.tech,5928NL,
27,Groß-Bieberau,Germany,accessec GmbH,Marktstr. 47-49,+49 6162 80042 0,http://www.accessec.com,64401,
28,Gimhae-si,"Korea, Republic of","ACE Corp., Ltd.",Chilsan-ro 16-17387 Beon-gil,+82 55 3213369,http://www.acetrap.com,51006,
29,Jamnagar,India,Ace Brass Industries,Gidc- 3N 4031 Road No.,+91 288 2730620,http://www.acebrass.com,,
30,Shanghai,China,"ACE INDUSTRY CO., LTD.",Rm 7E2888 Jiuxin RdSongjiang,+86 21 37623323,http://www.ace-stamping.com,201612,
31,Langenfeld,Germany,ACE Stoßdämpfer GmbH,Albert-Einstein-Str. 15,+49 511 89497013,http://www.ace-ace.de,40764,
32,Berlin,Germany,ACHAT Infrastruktur GmbH,Westhafenstr. 1,+49 30 21966038,/product/technologie/2404037/L981089,13353,
33,Nohra,Germany,ACI Laser GmbH,Steinbrüchenstr. 14U.N.O.-Gewerbegebiet,+49 3643 4152 0,http://www.aci-laser.de,99428,
34,Cavenago,Italy,ACL S.r.l.,Via G. Falcone 6,+39 02 9501335,http://www.acl.it,20873,
35,Rotherham,United Kingdom,ACM Bearings Limited,Derwent WayWath West Ind. Estate,+44 1709 874951,http://www.acmbearings.co.uk,,
36,Changsha,China,Advanced Corporation forMaterials & Equipments (ACME),"ACME, MuYun Industrial ZoneEconomic Development Zone",+86 731 82961396,http://www.chinaacme.net,410118,
37,Düsseldorf,Germany,aconno GmbH,Volmerswerther Str. 80-86,+49 211 93077809,http://www.aconno.de,40221,
38,Weingarten,Germany,acontis technologies GmbH,St.-Konrad-Str. 51,+49 751 56030 0,http://www.acontis.com,88250,
39,Paderborn,Germany,Fraunhofer-Institut fürEntwurfstechnik Mechatronik IEM,Zukunftsmeile 1,+49 5251 5465 101,http://www.iem.fraunhofer.de,33102,
40,Bremen,Germany,ACT Motor GmbH,Rosenheimer Str. 10,+49 421 51426266,http://www.act-motor.de,28219,
41,Mannheim,Germany,Actemium Controlmatic GmbH,Janderstr. 8,+49 69 50050,http://www.actemium.de,68199,
42,Riga,Latvia,AD VERBUM SIA,Balozu 11,+371 6 7229430,http://www.adverbum.com,1048,
43,Ahmedabad,India,Adani Ports and SpecialEconomic Zone Ltd.,Adani HouseNavrangpura,+91 90 99005566,http://www.adaniports.com,,
44,Darmstadt,Germany,Adaptive Balancing Power GmbH,Frankfurter Str. 100,+49 6151 3605854,http://www.adaptive-balancing.de,64293,
45,Leuna,Germany,ADDINOL Lube Oil GmbH,Gebäude 4609Am Haupttor,+49 3461 845 0,http://www.addinol.de,6237,
46,Reggio,Italy,ADEL system s.r.l.,Via Luigi Barchi 9/B,+39 0522 345518,http://www.adelsystem.com,42124,
47,Pinto,Spain,Adeptrans S.L.,Poligono Industrial El CascajalC/Mirlos 5,+34 91 6926286,http://www.adeptrans.es,28320,
48,Saint-Etienne,France,ADES TECHNOLOGIES,13 rue Edouard MartelZI de la Chauvetiere,+33 4 77 59 59 23,http://www.ades-technologies.com/index.php,42100,
49,Alencon,France,ADIAMIX S.A.S.,18-20 Rue du Chanvre à Tisser,+33 2 33800999,http://www.adiamix.com,61000,
50,Engstingen,Germany,ADITEC GmbH,Dietrich-Bonhoeffer-Str. 8,+49 7129 936759 0,http://www.aditec-technologie.de,72829,
51,Poznan,Poland,Adjatech sp. z o.o. sp. k.,Zbaszynska 22a,+48 605 205989,NaN,60-359,
52,"Cobourg,",Canada,"ADL Insulflex, Inc.",8783 Dale Road,+1 905 377 1488,http://www.adlinsulflex.com,,
53,Langenfeld,Germany,admeritia GmbH,Elisabeth-Selbert-Str. 1,+49 2173 20363 0,http://www.admeritia.de,40764,
54,Berlin,Germany,ADMOS Gleitlager GmbH,Wilhelminenhofstr. 89a,+49 30 53009 0,http://www.admos-gleitlager.de,12459,
55,Walde,Switzerland,Adrian Michel AG,Schiltwald 249,+41 62 7389238,http://www.adrianmichel.ch,5046,
56,Nürtingen,Germany,ads-tec GmbH,Heinrich-Hertz-Str. 1,+49 7022 2522 0,http://www.ads-tec.de,72622,
57,Singapore,Singapore,Advanced MaterialsTechnologies Pte Ltd.,No. 3 Tuas Lane,+65 68 636551,http://www.amt-mat.com,638612,
58,Hangzhou,China,Advanced Scroll Technologies(Hangzhou) Inc.,No.368 Liuhe RoadBinjiang District,+86 571 56690976,http://www.scrolltec.com,310053,
59,Riga,Latvia,AdvanGrid SIA,Ganibu Dambis 17a,+371 6615 5615,http://www.advangrid.com,1045,
60,Hamburg,Germany,advaNSDr.-Ing. Christian F. Janßen,Hartwicusstr. 3,No tel_number,http://www.advans.de,22087,
61,Bourg,France,Ad-VentaM. Jean Luc MUSSOT,190 Allée de BourgogneZI Sud,+33 475 488747,http://www.ad-venta.com,26300,
62,Ottendorf-Okrilla,Germany,ADZ NAGANO GmbHGesellschaft für Sensortechnik,Bergener Ring 43,+49 35205 5969 30,http://www.adz.de,1458,
63,Nova,Italy,AE.CAS s.r.l.,Via Novara 1,+39 0362 368311,http://www.aecas.it,20834,
64,Dornstadt,Germany,AED Automation GmbH,Lerchenbergstr. 23,+49 7348 20010,http://www.aed-automation.com,89160,
65,Vilnius,Lithuania,"Aedilis, UAB",L.Zamenhofo st. 5,+370 5 2742707,http://www.aedilis.lt,6332,
66,Cassano,Italy,AEGI Clamps Srl,Via Einstein 30,+39 0363 65788,http://www.aegiclamps.it,20062,
67,Taspinar,Turkey,AEM Elektrik Motorlari San.ve Tic.A.S.,Yavuz Selim Mah.Sümrü Küme Evleri No:61,+90 382 2880200,http://www.aemot.com.tr,68220,
68,Madrid,Spain,"AENER ENERGIA, S.L.U.",Calle Dehesa Vieja 2 nave 8,+34 91 6680330,http://www.aener.com,28052,
69,Unterhaching,Germany,AeroLas GmbH,Grimmerweg 6,+49 89 666089 0,http://www.aerolas.de,82008,
70,"Aguadilla,",United States of America,"Aeronautical and AerospaceInstitute of Puerto Rico, Inc.",576 Hangar RoadRamey Base,+1 787 8902681,http://aaipr.upr.edu/,,
71,Changsha,China,"Aerospace KaitianEnvironmental Tech Co.,Ltd",No.59 Nanzhuyuan Road,+86 731 82879388,http://www.kaitiangroup.com,410100,
72,Chengdu,China,"Aero-Tech (Chengdu)Machinery Co., Ltd.",321 Nanhai Av.Jiaolong Industrial Park,+86 28 85730605,http://www.bangpugolf.com,610200,
73,Desenzano,Italy,Aerotecnica Coltri SPA,via Colli Storici 177,+39 030 9910297,http://www.coltrisub.it,25015,
74,Villanova,Italy,Aertubi SRL,Via dell'Artigiano 5,+39 051 780051,http://www.aertubi.it,40055,
75,Aerzen,Germany,Aerzener Maschinenfabrik GmbH,Reherweg 28,+49 5154 81-0,http://www.aerzen.com,31855,
76,Aerzen,Germany,Aerzener Maschinenfabrik GmbH,Reherweg 28,+49 5154 81 0,http://www.aerzen.com,31855,
77,Gransee,Germany,Ätztec GmbH,Kraatzer Weg 1,+49 3306 2021011,http://www.aetztec.de,16775,
78,Epfendorf,Germany,Ätztechnik Herz GmbH & Co. KG,Kilbigswasen 4,+49 7404 9214 0,http://www.aetztechnik-herz.de,78736,
79,Amberg,Germany,Afag GmbH,Wernher-von-Braun-Str. 1,+49 9621 65027 0,http://www.afag.com,92224,
80,Stuttgart,Germany,AFBW - Allianz FaserbasierteWerkstoffe Baden-Württemberg e.V.,Kernerstr. 59,+49 711 2105012,http://www.afbw.eu,70182,
81,Bornheim,Germany,AFE Airfilter Europe GmbH,Lüddigstr. 8,+49 2227 9001000,http://www.airfilter-europe.com,53332,
82,Kemalpasa,Turkey,AFE Olgunlar Makina San. Tic. Ltd. Sti.,Istiklal Cad. 21 Sk. No:13Ulucak,+90 232 8772255,http://www.afeolgunlar.com.tr,35735,
83,Paris,France,Association Francaise pourl'Hydrogène et les Piles àCombustible - AFHYPAC,28 Rue Saint Dominique,+33 1 44111004,http://www.afhypac.org,75007,
84,Koluszki,Poland,Enterprises AGAT S.A.,Paderewskiego 1,+48 447146610,http://www.agat-koluszki.pl/en/,95-040,
85,Lodz,Poland,AGAT IT S.A.,Zawiszy Czarnego 10,+48 42 6176600,http://www.agatit.pl/,91-829,
86,Shanghai,China,A.G.C. Business Consulting,"16D, Yujia Mansion1336 Huashan Road",+86 18501617863,http://www.asiaglobalconsulting.com,200052,
87,Krakow,Poland,AGH Universityof Science and Technology,Al. Mickiewicza 30,+48 12 6172222,http://www.agh.edu.pl/en/,30-059,
88,Shenzhen,China,AGICO Technology Ltd.,"A216, 2F, 4th Building68 Rongshu RoadXixiang, Baoan",+86 755 29030603,http://www.agicotech.com,518102,
89,Chemnitz,Germany,Agilion GmbH,Blankenauer Str. 74,+49 371 450048 0,http://www.agilion.de,9113,
90,Ostfildern,Germany,agorum Software GmbH,Vogelsangstr. 22,+49 711 3587180,http://www.agorum.com,73760,
91,Steyr,Austria,AGRE Kompressoren GmbH,Am Stadtgut A3,+43 7252 523 410,http://www.agre.at,4407,
92,Hunzenschwil,Switzerland,AGRO AG,Korbackerweg 7,+41 62 8894747,http://www.agro.ch,5502,
93,Bad,Germany,AGRODUR Grosalski GmbH & Co. KG,Alexander-Mack-Str. 20,+49 2755 888 0,http://www.agrodur.de,57319,
94,Stade,Germany,AGS-Verfahrenstechnik GmbH,Hansestr. 18,+49 4141 404 350,http://www.ags-verfahrenstechnik.de,21682,
95,Emsdetten,Germany,AGTOS Gesellschaft für technischeOberflächensysteme mbH,Gutenbergstr. 14,+49 2572 96026 0,https://www.agtos.de,48282,
96,Kerpen,Germany,AHC Oberflächentechnik GmbH,Boelckestr. 25-57,+49 2237 502 0,http://www.ahc-surface.com,50171,
97,Alger,Algeria,Chambre Algero-Allemandede Commerce et d'IndustrieAHk Algerien,Rue Rabah Bourbia 47el-Biar,+213 21 921844,http://www.algerien.ahk.de,16000,
98,Baku,Azerbaijan,AHK AserbaidschanDeutsch-AserbaidschanischeAuslandshandelskammer,N. Rafibeyli Straße 49,+994 12 448 39 95,http://www.ahk-baku.de,1005,
99,Vilnius,Lithuania,"Deutsch-Baltische Handelskammerin Estland, Lettland, LitauenGerman-Baltic Chamber of Commercein Estonia, Latvia, Lithuania",Vinco Kudirkos G. 6,+370 5 213 1122,http://www.ahk-balt.org,3105,
100,Porto,Brazil,Deutsch-Brasilianische Industrie-und Handelskammer Porto AlegreAHK Camera Brasil Alemanha,Rua Castro Alves 600,+55 51 3222-5766,http://www.ahkrs.com.br,90430-130,
101,Sofia,Bulgaria,AHK Bulgarien,Frederic Joliot-Curie str. 25 A,+359 2 8163010,http://bulgarien.ahk.de,1113,
102,Brussels,Belgium,AHK debelux BrüsselDeutsch-Belgisch-LuxemburgischeHandelskammer VoG,"Manhattan Office Tower,Bolwerklaan 21 Avenue Du Boulevard",+32 2 20350 40,http://www.debelux.ahk.de/,1210,
103,Quito,Ecuador,Camara de Industrias y ComercioEcuatoriano-Alemana,Edificio Millenium Plaza4to piso Of. 401Av. Eloy Alfaro N35-09 y Portugal,+593 2 3332048,http://www.ahkecuador.org,P0133A,
104,Helsinki,Finland,DEinternational Oy,Mikonkatu 25,+358 9 6122120,http://www.dfhk.fi,100,
105,Paris,France,AHK FrankreichDeutsch-FranzösischeIndustrie- und Handelskammer,18 Rue Balard,+33 1 40583535,http://www.francoallemand.com/,75015,
106,Karlsruhe,Germany,"AHK Greater ChinaDelegationen der DeutschenWirtschaft in Peking, Shanghai,Guangzhou, Hong Kong, Taiwan",Bismarckstr. 45,+49 721 1614284,http://www.china.ahk.de,76133,
107,Mumbai,India,Deutsch-Indische Handelskammer,"Maker Tower 'E', 1st Floor,Cuffe Parade",+91 22 66652121,http://www.indien.ahk.de,,
108,Tehran,"Iran, Islamic Republic of",Deutsch-Iranische Industrie-und Handelskammer,"Ave. Bukharest, 8th Street, No. 7",+98 21 8133 1000,http://www.iran.ahk.de,1518633741,
109,Milan,Italy,DEinternational Italia S.r.l.,Via Gustavo Fara 26,+39 02 679131,http://www.ahk-italien.it,20124,
110,"Montreal,",Canada,Canadian German Chamber Of Industryand Commerce Inc.,Suite 200410 St. Nicolas Street,+1 514 8443051,http://www.germanchamber.ca,,
111,Seoul,"Korea, Republic of",AHK Korea-German Chamber ofCommerce and Industrie,"8th FloorDokseodang-Ro, Yongsan-Gu 85Shinwon Plaza",+82 2 37804 600,http://www.korea.ahk.de,4419,
112,Zagreb,Croatia,Deutsch-Kroatische Industrie- undHandelskammer (AHK Kroatien),Strojarska Cesta 22/11,+385 1 6311600,http://www.kroatien.ahk.de,10000,
113,Mexico,Mexico,"Deutsch-Mexikanische Industrie- undHandelskammer (CAMEXA)Camara Mexicano-Alemanade Comercio E Industria, A C","German centre, oficina 1-4-10, av.Av. Santa Fe 170Lomas De Santa Fe",+52 55 15005900,http://www.mexiko.ahk.de/,1210,
114,EC,Netherlands,Nederlands-Duitse Handelskamer,Nassauplein 30,+31 70 3114 100,http://www.niederlande.ahk.de,2585,
115,Oslo,Norway,Deutsch-Norwegische Handelskammer,Drammensveien 111b,+47 22 128210,http://norwegen.ahk.de/no,273,
116,Vienna,Austria,Deutsche Handelskammer inÖsterreich e.V.,"Top 3,1Schwarzenbergplatz 5",+43 1 5451417 0,http://www.oesterreich.ahk.de,1030,
117,Makati,Philippines,AHK PhilippinenDeutsch-PhilippinischeIndustrie- und Handelskammer,8/f Döhle Haus ManilaSen. Gil Puyat Avenue 30-38,+63 2 5198110,http://philippinen.ahk.de/,1234,
118,Warsaw,Poland,Polsko-Niemiecka IzbaPrzemyslowo-Handlowa,ul. Miodowa 14,+48 22 5310500,http://www.ahk.pl,00-246,
119,Warsaw,Poland,Polsko-Niemiecka IzbaPrzemyslowo-Handlowa,ul. Miodowa 14,+48 22 5310500,http://www.ahk.pl,00-246,
120,Bucharest,Romania,AHK RumänienDeutsch-RumänischeIndustrie- und Handelskammer,"Str. Clucerului 35, et 2",+40 21 2231531,http://rumaenien.ahk.de/home/,11363,
121,Moscow,Russian Federation,Deutsch-RussischeAuslandshandelskammer,1. Kasatschi per. 7,+7 495 23449 50,http://www.russland.ahk.de,119017,
122,Sao,Brazil,AHK São Paulo Brasilien,1488 Rua Verbo DivinoChácara Santo Antônio,+55 11 51875100,http://www.ahkbrasil.com,04719-904,
123,Singapur,Singapore,AHK SingapurDeutsch-SingapurischeIndustrie- und Handelskammer,03-105 German Centre25 International Business Park,+65 64 335330,NaN,609916,
124,Ljubljana,Slovenia,Slovensko-nemskagospodarska zbornicaAHK Slowenien,Poljanski Nasip 6,+386 1 2528860,http://www.dihk.si,1000,
125,Madrid,Spain,Deutsche Handelskammer für Spanien(Camara de Comercio Alemana paraEspaña),"Avenida Pio Xii, 26-28",+34 91 3530910,http://www.ahk.de/ahk-standorte/spanien/,28016,
126,Johannesburg,South Africa,AHK Südliches AfrikaSouthern African-GermanChamber of Commerce andIndustry NPC,47 Oxford Road,+27 11 4862775,NaN,2193,
127,Bangkok,Thailand,German-Thai Chamber of Commerce,"14th Floor, AIA Sathorn TowerSouth Sathorn Road 11/1Yannawa, Sathorn",+66 2 6700600,http://www.thailand.ahk.de,10120,
128,0,Czech Republic,Cesko-nemecka obchodni a prumyslovakomora (Deutsch-TschechischeIndustrie- und Handelskammer IHK),Vaclavske Nam. 40,+420 0224 221200,http://www.tschechien.ahk.de,110,
129,Tarabya,Turkey,AHK - Deutsch-TürkischeIndustrie- und HandelskammerAlman - Türk Ticaret ve Sanayi Odas,Yeniköy Cad. No. 88,+90 212 36305 00,http://www.dtr-ihk.de,34457,
130,Les,Tunisia,Deutsch-Tunesische Industrie- undHandelskammer (AHK Tunesien),Immeuble Le DomeRue Du Lac Leman,+216 71 965280,http://tunesien.ahk.de,1053,
131,"Chicago,",United States of America,"German American Chamber ofCommerce of the Midwest, Inc.",Suite 1425321 North Clark Street,+1 312 6442662,http://www.gaccmidwest.org,,
132,New,United States of America,German American Chamber ofCommerce Inc.,24th Floor80 Pine Street,+1 212 9748830,http://www.gaccny.com,,
133,San,United States of America,San Francisco Chamber of Commerce,12th Flr.Suite 2050101 Montgomery Street,+1 415 2481240,NaN,,
134,"Atlanta,",United States of America,"German American Chamber ofCommerce of the Southern US, Inc.",Suite 3001170 Howell Mill Road,+1 404 5866800,http://www.ahk-usa.com,,
135,Dubai,United Arab Emirates,Deutsch-Emiratische Industrie-und Handelskammer (AHK),"Business VillageP.O. Box 7480Port Saeed, Deira",+971 4 4470100,http://www.ahkuae.com,,
136,Holzkirchen,Germany,AHLBORN Mess- und Regelungs-technik GmbH,Eichenfeldstr. 1-3,+49 8024 3007 0,http://www.ahlborn.com,83607,
137,Berlin,Germany,AHP International GmbH & Co. KG,Karl-Heinrich-Ulrichs-Str. 11,+49 30 7568754 11,http://www.ahp-international.de,10787,
138,"Horsham,",United States of America,AHP International Inc.,Suite 111120 Gibraltar Road,+1 215 3150090,http://www.ahpi-inc.com,,
139,Gottenheim,Germany,AHP Merkle GmbH,Nägelseestr. 39,+49 7665 4208 0,http://www.ahp.de,79288,
140,Meßstetten,Germany,AHT GmbH,Am Hasenbrunnen 4,+49 7436 90150 11,http://www.aht-net.de,72469,
141,SZ,Netherlands,AHydraulics B.V.,Xenonweg 9L,+31 33 8200020,http://www.ahydraulics.com,3812,
142,"Stamford,",United States of America,aicas incorporated,Ste 4006 Landmark Square,+1 203 3595705,http://www.aicas.com,,
143,Düsseldorf,Germany,Aichi Europe GmbH,Immermannstr. 65b,+49 211 179343 0,http://www.aichi-europe.de/,40210,
144,Nagoya,Japan,"Aichi Tokei Denki Co.,Ltd.","2-70 Chitose 1-Chome, Atsuta-ku",+81 52 6615150,https://www.aichitokei.net/,,
145,Aveiro,Portugal,AIDA - Associacao Industrial doDistrito de Aveiro,"Alagoas, EsgueiraRua da Boavista",+351 234 302493,http://www.aida.pt,38800-115,
146,Gechingen,Germany,AIDA Geschäftsführungs-Organisations-Systeme GmbH,Hauptstr. 11,+49 7056 9295 0,http://www.aida-orga.de,75391,
147,Taino,Italy,Aidro S.r.l.,Via Prati Bassi 36,+39 0331 960250,http://www.aidro.it,21020,
148,Berlin,Germany,AiF Projekt GmbH,Tschaikowskistr. 49,+49 30 48163 3,https://www.aif-projekt-gmbh.de,13156,
149,Milan,Italy,Asfimet SRL,Via Sismondi 50,+39 027 0631970,http://www.galvanotecnica.org,20133,
150,Bione,Italy,AIGNEP S.P.A.,Via Don Guiseppe Bazzoli 34,+39 0365 896 626,http://www.aignep.com,25070,
151,Dubai,United Arab Emirates,Strategic Marketing & Exhibitions,"Apricot Tower, Office 908P.O. Box 10161Silicon Oasis",+971 4 3923232,http://www.strategic.ae,,
152,Porto,Portugal,"AIMMAP - Associacao dos IndustriaisMetalurgicos, Metalomecanicose Afins de Portugal",Rua dos Platanos 197,+351 226 166860,http://www.aimmap.pt,4100-414,
153,Porto,Portugal,"AIMMAP - Associacao dos IndustriaisMetalurgicos, Metalomecanicose Afins de Portugal",Rua dos Platanos 197,+351 226 166860,http://www.aimmap.pt,4100-414,
154,Porto,Portugal,"AIMMAP - Associacao dos IndustriaisMetalurgicos, Metalomecanicose Afins de Portugal",Rua dos Platanos 197,+351 226 166860,http://www.aimmap.pt,4100-414,
155,Burladingen,Germany,AIR CONCEPTDruckluftsysteme GmbH,Häuslerwasenstr. 12,+49 7126 9289 0,http://www.airconcept.de,72393,
156,Düsseldorf,Germany,AIR LIQUIDE AdvancedTechnologies GmbH,Hans-Günther-Sohl-Str. 5,+49 211 6699 0,http://www.airliquide.de,40235,
157,Carnago,Italy,Air Team Firstair Compressors Srl,Via Giuseppe Garibaldi 79,+39 0331 994750,http://www.firstair.it,21040,
158,RB,Netherlands,Airblast B.V.,Nijverheidsplein 2a,+31 72 5718002,http://www.airblast.com,1704,
159,Novi,Italy,AIRCOM S.R.L.,Via Trattato di Maastricht,+39 0143 329502,http://www.aircomsystem.com,15067,
160,Ratingen,Germany,AirCom Pneumatic GmbH,Siemensstr. 18,+49 2102 73390 0,http://www.aircom.net,40885,
161,Correggio,Italy,STAMPOTECNICA S.r.l.,Via Martiri di Cervarolo 5,+39 0522 641840,http://www.aircomp.it,42015,
162,24,Sweden,Airec AB,Hanögatan 5,+46 40 936360,http://www.airec.com,211,
163,Ningbo,China,Zhejiang Compressed FluidTransmission Engineering Co. Ltd.,"No.18 Mo Gan Shan Road,beilunBeilun District",+86 574 55876761,http://www.airpipetech.com,315800,
164,Kronberg,Germany,AIRTEC Pneumatic GmbH,Westerbachstr. 7,+49 6173 9562 0,http://www.airtec.de,61476,
165,Stare,Poland,Airwent-System SP. z.o.o,Mizikowskiego 3,+48 22 7332584,http://www.airwent-system.pl/,05-082,
166,Dresden,Germany,AIS Automation Dresden GmbH,Otto-Mohr-Str. 6,+49 351 2166 0,http://www.ais-automation.com,1237,
167,XR,Netherlands,Akapp-Stemmann B.V.,Darwinstraat 10,+31 342 403900,http://www.akapp.com,6718,
168,Hakusan,Japan,Akashi Gohdoh Inc.,1484 Yokoemachi,+81 76 2765533,http://www.akashigo.com,,
169,Islamabad,Pakistan,Akbar LPG,"F-8/2Khayaban-e-Iqbal, 88",+92 51 4859001,http://www.akbarassociates.com/,44000,
170,Sincan,Turkey,Akdas Döküm San. ve Tic. A.S.,OSB Oguz Cad No: 40,+90 312 2671880,http://www.akdas.com.tr,6935,
171,45,Sweden,Akerströms Björbo AB,Björbovägen 143,+46 24125000,http://www.akerstroms.com,785,
172,Belgaum,India,AKP Foundries Pvt. Ltd.,RS No: 689 Udyambagh,+91 944 84 97599,http://www.akpfoundries.com,,
173,Hamburg,Germany,akquinet AG,Paul-Stritter-Weg 5,+49 40 88173 0,http://www.akquinet.de,22297,
174,"Akron,",United States of America,City of Akron,"Municipal Bldg., Room 202166 South High Street",+1 330 3752133,http://www.akronohio.gov,,
175,Sincan,Turkey,Aktif Elektroteknik San. ve Tic. A.S.,"Aksemsettin Mah., Catalca Sok. No:113",+90 312 2694602,http://www.aktif.net,6934,
176,Bangalore,India,Aktis Engineering SolutionsPvt. Ltd.,"1st Floor, JNR PlazaNo. 3 GarvebhavipalyaNear HTMT, Hosur Road",+91 80 41461775,http://www.aktisengineering.com,,
177,Hirrlingen,Germany,"AKZ Baden-Württemberg e.V.AKZ - Ausrüster, Zulieferer,Komponentenc/o Profilmetall GmbH",Wagnerstr. 1,+49 7478 9293 0,http://www.akz-online.de,72145,
178,Taichung,Taiwan,"AL Forge Tech Co., LTD.","No.67-21 Ln.854, Sec.1, Shatian Rd.Dadu Dist.",+886 4 26980058,http://www.aft-forge.com.tw,432,
179,Riyadh,Saudi Arabia,Al-Amana Technology,P.O.Box 355939,+966 1 4222078,http://www.atgroups.net,11383,
180,Gampern,Austria,ALBERT Maschinenfabrik GmbH,Technologiepark 2,+43 7682 39080 10,http://www.albert.at,4851,
181,Pendik,Turkey,ALCE Elektrik Sanayi veTicaret A.S.,Ramazanoglu Mah.Transtek Cad. 6,+90 216 5854200,http://www.alce-elektrik.com.tr,34906,
182,Dieuze,France,Alchimies SAS,"137, rue SAI la Princesse Alix Napoléon",+33 3 87900183,http://www.alchimies.eu,57260,
183,Brendola,Italy,AL.CON.PRESS. S.r.l.con unico socio,Via dell'Emigrante 1,+39 0444 400097,http://www.alconair.it,36040,
184,Meyreuil,France,ALCRYS Fluid-Control &Services SAS,Chemin de Barlatier  - Le Canet,+33 4 42210554,http://www.alcrys.fr/,13590,
185,"Akademija,",Lithuania,Aleksandras Stulginskis University,Studentu 11,+370 37 752300,NaN,53361,
186,Vimercate,Italy,ALFA GOMMA S.p.A.,Via Torri Bianche 1,+39 039 60161,http://www.alfagomma.com,20059,
187,Carate,Italy,ALFA PLASTIC s.a.s.di Fioratti Paolo & C.,Via Della Valle 39,+39 0362 903539,http://www.alfaelectric.com,20841,
188,Riyadh,Saudi Arabia,alfanar Co.,"Alfanar Building, Al-Nafl DistrictNorth Ring RoadNear King Abdulaziz Center",+966 11 920006111,http://www.alfanar.com,11411,
189,Hockenheim,Germany,Alfra GmbH,Zweite Industriestr. 10,+49 6205 3051 0,http://www.alfra.de,68766,
